name,country,price,rating,image,region,winery,flavor,food_pairing,grapes
Louis Jadot Bourgogne Pinot Noir 1997,France,29.27,3.6,images/Louis_Jadot_Bourgogne_Pinot_Noir_1997.png,Bourgogne,Louis Jadot,"red fruit, earth, oak, non oak, black fruit, spices, microbio, floral, vegetal, citrus fruit, dried fruit, tree fruit, tropical fruit","Beef, Veal, Game (deer, venison), Poultry",Pinot Noir
Ruinart Blanc de Blancs Brut Champagne,France,59.99,4.4,images/Ruinart_Blanc_de_Blancs_Brut_Champagne.png,Champagne,Ruinart,"tree fruit, citrus fruit, microbio, non oak, oak, earth, vegetal, tropical fruit, spices, floral, red fruit, dried fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Pol Roger Réserve Brut Champagne,France,35,4.2,images/Pol_Roger_Rserve_Brut_Champagne.png,Champagne,Pol Roger,"tree fruit, non oak, citrus fruit, microbio, oak, earth, vegetal, spices, floral, tropical fruit, red fruit, dried fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Bonanza Cabernet Sauvignon Lot,United States,10.99,4.1,images/Bonanza_Cabernet_Sauvignon_Lot.png,California,Bonanza,"oak, black fruit, non oak, red fruit, spices, earth, dried fruit, microbio, floral, tree fruit, vegetal, citrus fruit, tropical fruit","Beef, Lamb, Game (deer, venison), Poultry",Cabernet Sauvignon
The Prisoner Saldo Zinfandel,United States,19.99,4.2,images/The_Prisoner_Saldo_Zinfandel.png,California,The Prisoner,"oak, black fruit, red fruit, spices, non oak, earth, dried fruit, microbio, floral, vegetal, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Poultry",Zinfandel
Pommery Royal Brut Champagne,France,29.99,3.9,images/Pommery_Royal_Brut_Champagne.png,Champagne,Pommery,"tree fruit, non oak, citrus fruit, microbio, oak, earth, vegetal, spices, red fruit, tropical fruit, floral, dried fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Rombauer Vineyards Chardonnay 2004,United States,58.72,4.4,images/Rombauer_Vineyards_Chardonnay_2004.png,Los Carneros,Rombauer Vineyards,"oak, microbio, non oak, tree fruit, spices, citrus fruit, tropical fruit, vegetal, earth, floral, dried fruit, red fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Vegetarian, Poultry",Chardonnay
G.H. Mumm (Cordon Rouge) Brut Champagne,France,49.99,3.9,images/GH_Mumm_Cordon_Rouge_Brut_Champagne.png,Champagne,G.H. Mumm,"tree fruit, citrus fruit, non oak, microbio, oak, earth, vegetal, spices, tropical fruit, red fruit, floral, dried fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Château d'Armailhac Pauillac (Grand Cru Classé) 2023,France,47,4.1,images/Chteau_dArmailhac_Pauillac_Grand_Cru_Class_2023.png,Pauillac,Château d'Armailhac,"oak, earth, black fruit, non oak, spices, red fruit, microbio, floral, dried fruit, vegetal, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Game (deer, venison), Poultry","Cabernet Sauvignon, Cabernet Franc, Malbec, Merlot, Petit Verdot, Carménère"
Billecart-Salmon Brut Réserve Champagne,France,39.99,4.2,images/Billecart_Salmon_Brut_Rserve_Champagne.png,Champagne,Billecart-Salmon,"tree fruit, non oak, citrus fruit, microbio, oak, earth, vegetal, spices, tropical fruit, red fruit, floral, dried fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Paul Jaboulet Aîné Parallèle 45 Côtes du Rhône Rouge Bio 1990,France,69,3.6,images/Paul_Jaboulet_An_Parallle_45_Ctes_du_Rhne_Rouge_Bi.png,Côtes-du-Rhône,Paul Jaboulet Aîné,"red fruit, oak, black fruit, spices, earth, non oak, microbio, floral, tree fruit, dried fruit, citrus fruit, vegetal, tropical fruit","Beef, Lamb, Game (deer, venison)","Shiraz/Syrah, Grenache, Mourvedre"
Deutz Classic Brut Champagne,France,49.99,4.1,images/Deutz_Classic_Brut_Champagne.png,Champagne,Deutz,"tree fruit, citrus fruit, non oak, microbio, oak, earth, vegetal, spices, tropical fruit, floral, red fruit, dried fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Charles Heidsieck Brut Réserve,France,49,4.2,images/Charles_Heidsieck_Brut_Rserve.png,Champagne,Charles Heidsieck,"non oak, tree fruit, microbio, oak, citrus fruit, earth, vegetal, spices, tropical fruit, dried fruit, floral, red fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Moët & Chandon Impérial Rosé Brut Champagne,France,49.99,4.1,images/Mot_Chandon_Imprial_Ros_Brut_Champagne.png,Champagne,Moët & Chandon,"red fruit, citrus fruit, microbio, non oak, tree fruit, oak, earth, spices, floral, vegetal, black fruit, tropical fruit, dried fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
E. Guigal Côtes-du-Rhône Blanc 2024,France,19.99,3.6,images/E_Guigal_Ctes_du_Rhne_Blanc_2024.png,Côtes-du-Rhône,E. Guigal,"tree fruit, earth, citrus fruit, oak, microbio, spices, non oak, tropical fruit, floral, vegetal, red fruit, black fruit, dried fruit","Pork, Rich fish (salmon, tuna etc), Mature and hard cheese, Poultry, Cured Meat","Viognier, Roussanne, Marsanne, Grenache Blanc, Clairette, Bourboulenc"
Brotte La Fiole du Pape Père Anselme Châteauneuf-du-Pape,France,30.99,4.1,images/Brotte_La_Fiole_du_Pape_Pre_Anselme_Chteauneuf_du_.png,Châteauneuf-du-Pape,Brotte,"oak, earth, red fruit, black fruit, non oak, spices, microbio, dried fruit, vegetal, floral, citrus fruit, tree fruit","Lamb, Pork, Poultry","Shiraz/Syrah, Mourvedre, Counoise, Cinsaut, Vaccareze, Muscardin"
Château Grand-Puy-Lacoste Pauillac (Grand Cru Classé) 2023,France,65,4.3,images/Chteau_Grand_Puy_Lacoste_Pauillac_Grand_Cru_Class_.png,Pauillac,Château Grand-Puy-Lacoste,"oak, earth, black fruit, non oak, spices, red fruit, microbio, dried fruit, vegetal, floral, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Game (deer, venison), Poultry","Cabernet Sauvignon, Cabernet Franc, Malbec, Merlot, Petit Verdot, Carménère"
Château Branaire-Ducru Saint-Julien (Grand Cru Classé) 2023,France,45,4.1,images/Chteau_Branaire_Ducru_Saint_Julien_Grand_Cru_Class.png,Saint-Julien,Château Branaire-Ducru,"oak, black fruit, earth, non oak, spices, red fruit, microbio, floral, vegetal, dried fruit, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Game (deer, venison), Poultry","Cabernet Sauvignon, Cabernet Franc, Malbec, Merlot, Petit Verdot, Carménère"
Ferrari Trento Brut,Italy,14.99,3.8,images/Ferrari_Trento_Brut.png,Trento,Ferrari,"tree fruit, citrus fruit, microbio, non oak, oak, earth, vegetal, spices, tropical fruit, floral, red fruit, dried fruit, black fruit","Shellfish, Any junk food will do, Appetizers and snacks, Lean fish, Aperitif",
Billecart-Salmon Brut Rosé Champagne,France,55,4.4,images/Billecart_Salmon_Brut_Ros_Champagne.png,Champagne,Billecart-Salmon,"red fruit, citrus fruit, microbio, non oak, tree fruit, oak, earth, vegetal, spices, floral, tropical fruit, black fruit, dried fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Nicolas Feuillatte Réserve Exclusive Brut Champagne,France,30,3.9,images/Nicolas_Feuillatte_Rserve_Exclusive_Brut_Champagne.png,Champagne Grand Cru 'Chouilly',Nicolas Feuillatte,"tree fruit, citrus fruit, non oak, microbio, oak, earth, vegetal, spices, red fruit, tropical fruit, floral, dried fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Veuve Clicquot Brut Rosé Champagne,France,59.99,4.3,images/Veuve_Clicquot_Brut_Ros_Champagne.png,Champagne,Veuve Clicquot,"red fruit, citrus fruit, microbio, non oak, oak, tree fruit, earth, vegetal, spices, black fruit, floral, dried fruit, tropical fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Ca' del Bosco Franciacorta Cuvée Prestige,Italy,39.99,4.1,images/Ca_del_Bosco_Franciacorta_Cuve_Prestige.png,Franciacorta,Ca' del Bosco,"tree fruit, non oak, citrus fruit, microbio, oak, earth, vegetal, tropical fruit, spices, floral, red fruit, dried fruit, black fruit","Shellfish, Appetizers and snacks, Lean fish, Mild and soft cheese, Aperitif","Chardonnay, Pinot Noir, Pinot Blanc"
Lanson Le Black Label Brut Champagne,France,40,3.9,images/Lanson_Le_Black_Label_Brut_Champagne.png,Champagne,Lanson,"tree fruit, citrus fruit, non oak, microbio, oak, earth, vegetal, spices, red fruit, tropical fruit, floral, black fruit, dried fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Martini Asti,Italy,11.99,3.8,images/Martini_Asti.png,Asti,Martini,"tree fruit, earth, citrus fruit, tropical fruit, floral, microbio, non oak, oak, red fruit, spices, vegetal, dried fruit, black fruit","Sweet desserts, Fruity desserts, Aperitif",Moscato
Belle Glos Dairyman Vineyard Pinot Noir 2023,United States,33.99,4.4,images/Belle_Glos_Dairyman_Vineyard_Pinot_Noir_2023.png,Russian River Valley,Belle Glos,"oak, red fruit, non oak, spices, black fruit, earth, microbio, dried fruit, floral, vegetal, tree fruit, citrus fruit, tropical fruit","Veal, Pork, Poultry, Mushrooms",Pinot Noir
Château Pichon Longueville Comtesse de Lalande Réserve (de la Comtesse) Pauillac 2023,France,45,4.1,images/Chteau_Pichon_Longueville_Comtesse_de_Lalande_Rser.png,Pauillac,Château Pichon Longueville Comtesse de Lalande,"oak, black fruit, earth, non oak, spices, red fruit, microbio, floral, vegetal, dried fruit, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Game (deer, venison), Poultry","Cabernet Sauvignon, Cabernet Franc, Malbec, Merlot, Petit Verdot, Carménère"
Château Duhart-Milon Pauillac (Grand Cru Classé) 2023,France,68,4.3,images/Chteau_Duhart_Milon_Pauillac_Grand_Cru_Class_2023.png,Pauillac,Château Duhart-Milon,"oak, earth, black fruit, non oak, spices, red fruit, microbio, floral, vegetal, dried fruit, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Game (deer, venison), Poultry","Cabernet Sauvignon, Cabernet Franc, Malbec, Merlot, Petit Verdot, Carménère"
Clos du Marquis Saint-Julien 2023,France,50,4.2,images/Clos_du_Marquis_Saint_Julien_2023.png,Saint-Julien,Clos du Marquis,"oak, black fruit, earth, non oak, spices, red fruit, microbio, floral, dried fruit, vegetal, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Game (deer, venison), Poultry","Cabernet Sauvignon, Cabernet Franc, Malbec, Merlot, Petit Verdot, Carménère"
Valdo Marca Oro Valdobbiadene Prosecco Superiore Extra Dry,Italy,14.49,3.7,images/Valdo_Marca_Oro_Valdobbiadene_Prosecco_Superiore_E.png,Conegliano-Valdobbiadene Prosecco Superiore,Valdo,"tree fruit, citrus fruit, earth, microbio, non oak, vegetal, oak, floral, tropical fruit, spices, red fruit, black fruit, dried fruit","Shellfish, Vegetarian, Appetizers and snacks, Aperitif, Cured Meat",Glera
Moët & Chandon Nectar Impérial (Demi-Sec) Champagne,France,52.99,4.2,images/Mot_Chandon_Nectar_Imprial_Demi_Sec_Champagne.png,Champagne,Moët & Chandon,"tree fruit, earth, microbio, citrus fruit, non oak, oak, tropical fruit, spices, red fruit, vegetal, floral, black fruit, dried fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Drappier Carte d'Or Brut Champagne,France,39.99,4,images/Drappier_Carte_dOr_Brut_Champagne.png,Champagne,Drappier,"tree fruit, non oak, citrus fruit, microbio, oak, earth, vegetal, spices, red fruit, tropical fruit, black fruit, floral, dried fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Tinazzi Vinum Italicum No 3 Opera,Italy,29.99,4.2,images/Tinazzi_Vinum_Italicum_No_3_Opera.png,Vino d'Italia,Tinazzi,"oak, black fruit, red fruit, non oak, earth, spices, dried fruit, microbio, floral, vegetal, tree fruit, citrus fruit, tropical fruit","Beef, Pasta, Lamb, Veal, Game (deer, venison), Cured Meat",
Moët & Chandon Ice Impérial (Demi-Sec) Champagne,France,64.09,4.2,images/Mot_Chandon_Ice_Imprial_Demi_Sec_Champagne.png,Champagne,Moët & Chandon,"tree fruit, citrus fruit, spices, red fruit, earth, tropical fruit, non oak, microbio, oak, vegetal, black fruit, floral, dried fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Susana Balbo Signature Brioso 2024,Argentina,26.99,4.2,images/Susana_Balbo_Signature_Brioso_2024.png,Agrelo,Susana Balbo,"oak, black fruit, non oak, earth, spices, red fruit, microbio, floral, dried fruit, vegetal, citrus fruit, tree fruit, tropical fruit","Beef, Pasta, Lamb, Poultry","Cabernet Sauvignon, Cabernet Franc, Malbec, Merlot, Petit Verdot, Carménère"
Freixenet Cava Cordón Negro Brut,Spain,10.79,3.6,images/Freixenet_Cava_Cordn_Negro_Brut.png,Cava,Freixenet,"tree fruit, citrus fruit, microbio, earth, non oak, oak, vegetal, spices, tropical fruit, red fruit, floral, dried fruit, black fruit","Shellfish, Appetizers and snacks, Lean fish, Aperitif, Cured Meat","Xarel-lo, Parellada, Trepat, Viura"
Château Guiraud Sauternes (Premier Grand Cru Classé) 2023,France,52,4.3,images/Chteau_Guiraud_Sauternes_Premier_Grand_Cru_Class_2.png,Sauternes,Château Guiraud,"earth, tree fruit, citrus fruit, oak, non oak, tropical fruit, microbio, spices, dried fruit, floral, vegetal, black fruit, red fruit","Fruity desserts, Blue cheese","Sauvignon Blanc, Sémillon, Muscadelle"
Segura Viudas Cava Reserva Heredad Brut,Spain,34.99,3.9,images/Segura_Viudas_Cava_Reserva_Heredad_Brut.png,Cava,Segura Viudas,"tree fruit, citrus fruit, earth, microbio, non oak, oak, vegetal, tropical fruit, spices, red fruit, floral, dried fruit, black fruit","Shellfish, Appetizers and snacks, Lean fish, Aperitif, Cured Meat","Xarel-lo, Parellada, Trepat, Viura"
