id,title,country,region,winery,variety,vintage,description,points,price,alcohol,acidity,body,tannins,sweetness,style,image_url,mood_tags,food_pairing,tasting_notes,winery_history
11,Deep Sea 2011 White Hawk Vineyard Syrah (Santa Barbara County),US,Santa Barbara County,Deep Sea,Syrah,2011,"Amidst cola and sassafras on the nose, there's a bit of rotting cherry funk and some compost pile aromas to this intriguing single-vineyard Syrah from the Los Alamos area. The little bit of cherry sweetness on the palate gets more serious with chopped herbs, tobacco and cedar.",89,38.0,14.0,High,Medium-Full,High,Dry,Still Red,https://wine-images.wine.com/media/catalog/product/deep-sea-2011-syrah-789391.jpg,"Sophisticated, Powerful, Bold, Good","Grilled lamb, Spicy sausages, Aged gouda","Amidst cola and sassafras on the nose, there's a bit of rotting cherry funk and some compost pile aromas to this intriguing single-vineyard Syrah from the Los Alamos area. The little bit of cherry sweetness on the palate gets more serious with chopped herbs, tobacco and cedar.",A boutique American winery that focuses on small-batch production and showcasing the unique terroir of US wine regions.
12,Cave de Saumur 2014 Réserve des Vignerons  (Saumur),France,Saumur,Cave de Saumur,Chenin Blanc,2014,"This ripe, fruity wine has both freshness and a warmer, rounded character. Apricot and fresh white peach fruits are filled out with almond flavors as well as acidity. It's a wine to enjoy now, although it will be better from 2016",86,14.0,11.1,High,Full,Medium-High,Dry,Still Red,https://cdn.wine-searcher.com/images/labels/cave-de-saumur-2014-chenin-blanc-622459.jpg,"Reliable, Smooth, Social, Pleasant","Grilled vegetables, Stewed dishes, Hard cheeses","This ripe, fruity wine has both freshness and a warmer, rounded character. Apricot and fresh white peach fruits are filled out with almond flavors as well as acidity. It's a wine to enjoy now, although it will be better from 2016","Cave de Saumur is a traditional French winery established in the late 1800s, known for its commitment to terroir and time-honored winemaking techniques."
13,Château Gaudrelle 2010 Clos le Vigneau  (Vouvray),France,Vouvray,Château Gaudrelle,Chenin Blanc,2010,"This is a smooth and creamy wine with soft apple flavors mingling with almonds and brisk acidity. It has a tight edge of minerality that adds a fine texture, offering a glimpse of the extra richness that can be expected in 2–3 years.",90,18.0,14.7,High,Medium,High,Dry,Still Red,https://images.wine.com/labels/château-gaudrelle-2010-chenin-blanc-991910.jpg,"Balanced, Pleasant, Smooth, Complex","Stewed dishes, Grilled vegetables, Red meat","This is a smooth and creamy wine with soft apple flavors mingling with almonds and brisk acidity. It has a tight edge of minerality that adds a fine texture, offering a glimpse of the extra richness that can be expected in 2–3 years.",A historic French winery that has weathered both world wars and continues to produce wines that reflect the unique characteristics of its France origins.
14,Novy 2012 Zinfandel (Russian River Valley),US,Russian River Valley,Novy,Zinfandel,2012,"It shows ultrarich tannins and a flavor complexity ranging from briary wild blackberries and prunes to currants, nettles, sweet tea and softened cola. It's absolutely dry, despite or perhaps because of very high alcohol. The wine is unapologetic about that ripeness, instead asking only to be happily paired with barbecue.",87,20.0,11.5,Medium,Full,Low,Dry,Still Red,https://images.wine.com/labels/novy-2012-zinfandel-629064.jpg,"Pleasant, Celebratory, Smooth","Stewed dishes, Hard cheeses, Grilled vegetables, Red meat","It shows ultrarich tannins and a flavor complexity ranging from briary wild blackberries and prunes to currants, nettles, sweet tea and softened cola. It's absolutely dry, despite or perhaps because of very high alcohol. The wine is unapologetic about that ripeness, instead asking only to be happily paired with barbecue.",A boutique American winery that focuses on small-batch production and showcasing the unique terroir of US wine regions.
15,Casca Wines 2011 Santos da Casa Reserva Red (Alentejano),Portugal,Alentejano,Casca Wines,Portuguese Red,2011,"With a high proportion of generous Alicante Bouschet in the blend, this is a big, bold wine. It has smoky flavors showing a meaty character that's enhanced by 12 months wood aging. Generous tannins give a rich, structured character. It could still do with some aging, so drink from 2017.",91,19.0,13.3,High,Full,High,Medium-Sweet,Fortified,https://wine-images.wine.com/media/catalog/product/casca-wines-2011-portuguese-red-511940.jpg,"Balanced, Cozy, Smooth, Outstanding, Casual","After-dinner conversation, Dark chocolate, Aged cheeses","With a high proportion of generous Alicante Bouschet in the blend, this is a big, bold wine. It has smoky flavors showing a meaty character that's enhanced by 12 months wood aging. Generous tannins give a rich, structured character. It could still do with some aging, so drink from 2017.","Casca Wines is a respected winery from Portugal, known for producing quality wines that showcase the unique characteristics of their regional terroir and local grape varieties."
16,Nugnes 2009 Caleno Oro Aglianico (Campania),Italy,Campania,Nugnes,Aglianico,2009,"Baked plum, blue flower, dark spice, vanilla and dried herb emerge in the glass. The dense, chewy palate offers mature black cherry, raspberry jam, fig and sweet cake spice alongside velvety tannins. It has hit its ideal drinking window so enjoy soon.",88,57.74,12.1,Medium-High,Full,Medium,Dry,Still Red,https://cdn.wine-searcher.com/images/labels/nugnes-2009-aglianico-769460.jpg,"Smooth, Intimate, Good, Pleasant","Stewed dishes, Pasta, Red meat, Hard cheeses","Baked plum, blue flower, dark spice, vanilla and dried herb emerge in the glass. The dense, chewy palate offers mature black cherry, raspberry jam, fig and sweet cake spice alongside velvety tannins. It has hit its ideal drinking window so enjoy soon.","Nugnes represents centuries of Italian winemaking tradition, with vineyards that have been cultivated since the Renaissance."
17,Elkhorn Peak NV Dessert Wine White (California),US,California,Elkhorn Peak,White Blend,2011,"The winery says this high-alcohol wine, made from Muscat and Verdelho, was aged for ten years in barrels. It has a floral, Sherry taste, with that distinctive yeasty flavor undergirding quite sweet pineapples, oranges, apricots and white chocolate.",86,20.0,13.2,Medium,Full,Medium-High,Dry,Still Red,https://images.wine.com/labels/elkhorn-peak-2011-white-blend-422866.jpg,"Sophisticated, Festive, Reliable, Smooth","Red meat, Stewed dishes, Hard cheeses, Grilled vegetables","The winery says this high-alcohol wine, made from Muscat and Verdelho, was aged for ten years in barrels. It has a floral, Sherry taste, with that distinctive yeasty flavor undergirding quite sweet pineapples, oranges, apricots and white chocolate.","Elkhorn Peak was founded in 1976 during the modern American wine renaissance, pioneering sustainable farming practices."
18,Bischöfliche Weingüter Trier 2015 Dom Off-Dry Riesling (Mosel),Germany,Mosel,Bischöfliche Weingüter Trier,Riesling,2015,"Hints of lemon shortbread, fresh apple and white flower unfold on the nose of this delicately honeyed wine. On the palate, sweet white-peach and yellow-cherry flavors run just a shade off dry. Easy going and fresh, it finishes long, with a streak of tangerine acidity.",89,18.0,11.1,Medium-High,Medium-Full,None,Off-Dry,Still White,https://images.vivino.com/thumbs/bischöfliche-weingüt-2015-riesling-599270.jpg,"Good, Reliable, Bright, Refreshing, Aromatic","Pork tenderloin, Apple tart, Spicy Asian cuisine, Shellfish","Hints of lemon shortbread, fresh apple and white flower unfold on the nose of this delicately honeyed wine. On the palate, sweet white-peach and yellow-cherry flavors run just a shade off dry. Easy going and fresh, it finishes long, with a streak of tangerine acidity.","Founded in the Baden area, this winery is renowned for its precision winemaking and terroir expression."
19,Antica Enotria 2011 Vriccio Primitivo (Puglia),Italy,Puglia,Antica Enotria,Primitivo,2011,"Notes of cherry and raspberry open the nose of this organic wine. It is easy on the palate, with a lean, fruit-filled finish.",86,20.0,14.3,Medium-High,Light,Medium-High,Dry,Still Red,https://images.vivino.com/thumbs/antica-enotria-2011-primitivo-703756.jpg,"Reliable, Balanced, Smooth, Celebratory","Grilled vegetables, Red meat, Hard cheeses, Pasta","Notes of cherry and raspberry open the nose of this organic wine. It is easy on the palate, with a lean, fruit-filled finish.",This family-owned estate in Italy combines ancient techniques with modern innovation to create wines that honor their Italian heritage.
20,Mark Ryan 2012 Crazy Mary Mourvèdre (Red Mountain),US,Red Mountain,Mark Ryan,Mourvèdre,2012,"A blend of Ciel du Cheval and Force Majeure vineyards, this wine brings a mix of pomegranate, dark raspberry, dried tobacco, crushed rock and peppery spices. It explodes on the palate with rich, dense, cranberry and spice flavors that linger.",93,48.0,11.8,Medium,Medium-Full,Medium-High,Dry,Still Red,https://images.vivino.com/thumbs/mark-ryan-2012-mourvèdre-777078.jpg,"Pleasant, Balanced, Outstanding, Complex, Casual","Red meat, Stewed dishes, Pasta","A blend of Ciel du Cheval and Force Majeure vineyards, this wine brings a mix of pomegranate, dark raspberry, dried tobacco, crushed rock and peppery spices. It explodes on the palate with rich, dense, cranberry and spice flavors that linger.",A boutique American winery that focuses on small-batch production and showcasing the unique terroir of US wine regions.
21,Undurraga 2012 U Estate Grown Sauvignon Blanc (Maipo Valley),Chile,Maipo Valley,Undurraga,Sauvignon Blanc,2012,"Fleshy, tropical aromas with a touch of varietal snap set up a green palate with sweet lime and scallion flavors. The finish shows ripeness and tropical notes before turning heavy. Drink this well chilled.",85,11.0,12.0,Medium-High,Light,None,Dry,Still White,https://cdn.wine-searcher.com/images/labels/undurraga-2012-sauvignon-blanc-775000.jpg,"Good, Reliable, Fresh, Celebratory, Crisp","Grilled vegetables, Goat cheese salad, Sushi, Light seafood","Fleshy, tropical aromas with a touch of varietal snap set up a green palate with sweet lime and scallion flavors. The finish shows ripeness and tropical notes before turning heavy. Drink this well chilled.","Undurraga is a respected winery from Chile, known for producing quality wines that showcase the unique characteristics of their regional terroir and local grape varieties."
22,Wildberry Estate 2013 Two Passions Cabernet Sauvignon (Margaret River),Australia,Margaret River,Wildberry Estate,Cabernet Sauvignon,2013,"This restrained, medium-bodied Cabernet Sauvignon is a solid value. On the nose, cedar, vanilla and cassis elements blend together easily, while brown sugar and vanilla flavors are supported by just enough cassis and black cherry fruit. Drink now–2028.",90,20.0,13.8,High,Full,None,Dry,Still White,https://images.vivino.com/thumbs/wildberry-estate-2013-cabernet-sauvig-207644.jpg,"Powerful, Festive, Complex","Fresh cheeses, Vegetables, Light poultry","This restrained, medium-bodied Cabernet Sauvignon is a solid value. On the nose, cedar, vanilla and cassis elements blend together easily, while brown sugar and vanilla flavors are supported by just enough cassis and black cherry fruit. Drink now–2028.","Wildberry Estate is a respected winery from Australia, known for producing quality wines that showcase the unique characteristics of their regional terroir and local grape varieties."
23,Palmer 2012 Albariño (North Fork of Long Island),US,North Fork of Long Island,Palmer,Albariño,2012,"Intense perfume and floral notes overcome ripe apple aromas. It's dry on the palate with flavors of savory apple and green herbs, but feels a bit flat and heavy in mouthfeel.",83,25.0,14.6,Medium-High,Medium,Medium-High,Dry,Still White,https://images.vivino.com/thumbs/palmer-2012-albariño-499596.jpg,"Balanced, Festive, Pleasant, Smooth","Vegetables, Seafood, Salads, Light poultry","Intense perfume and floral notes overcome ripe apple aromas. It's dry on the palate with flavors of savory apple and green herbs, but feels a bit flat and heavy in mouthfeel.","Palmer was founded in 1986 during the modern American wine renaissance, pioneering sustainable farming practices."
24,Phelps Creek 2015 Gorge Crest Gewürztraminer (Columbia Gorge (OR)),US,Columbia Gorge (OR),Phelps Creek,Gewürztraminer,2015,"This cool climate region is well-suited to this grape, producing aromatic, elegant wines such as this without the over-the-top perfume that can drive consumers away. Subtle aromas suggest light talc, acacia and calla lily, while in the mouth this is soft and smooth. Overall it's just plain pretty, with details of apple and apple skin.",90,28.0,14.5,Medium,Medium,None,Dry,Still White,https://images.vivino.com/thumbs/phelps-creek-2015-gewürztraminer-359876.jpg,"Pleasant, Sophisticated, Balanced, Smooth","Fresh cheeses, Vegetables, Seafood","This cool climate region is well-suited to this grape, producing aromatic, elegant wines such as this without the over-the-top perfume that can drive consumers away. Subtle aromas suggest light talc, acacia and calla lily, while in the mouth this is soft and smooth. Overall it's just plain pretty, with details of apple and apple skin.",A boutique American winery that focuses on small-batch production and showcasing the unique terroir of US wine regions.
25,Falua 2010 Conde de Vimioso Colheita Seleccionada White (Tejo),Portugal,Tejo,Falua,Portuguese White,2010,"A soft apple-tinged wine, with bright acidity that cuts right through. The wine is rounded, with just enough crispness. Ready to drink.",86,9.0,13.4,High,Medium,Low,Sweet,Fortified,https://wine-images.wine.com/media/catalog/product/falua-2010-portuguese-whit-653867.jpg,"Reliable, Cozy, Balanced, Pleasant","After-dinner conversation, Aged cheeses, Nuts","A soft apple-tinged wine, with bright acidity that cuts right through. The wine is rounded, with just enough crispness. Ready to drink.","Falua is a respected winery from Portugal, known for producing quality wines that showcase the unique characteristics of their regional terroir and local grape varieties."
26,Erste Neue 2011 Pinot Grigio (Alto Adige),Italy,Alto Adige,Erste Neue,Pinot Grigio,2011,"Here's a Pinot Grigio that ranks high in terms of fresh, easy-drinking white wine options from northern Italy. The bouquet delivers crisp tones of honeydew melon, herb and a distant mineral dusting. In the mouth, it shows balanced freshness and a bright peach finish.",87,17.0,13.0,High,Medium,None,Dry,Still White,https://images.vivino.com/thumbs/erste-neue-2011-pinot-grigio-754272.jpg,"Reliable, Celebratory, Smooth, Intimate","Grilled fish, Light pasta, Fresh mozzarella, Seafood risotto","Here's a Pinot Grigio that ranks high in terms of fresh, easy-drinking white wine options from northern Italy. The bouquet delivers crisp tones of honeydew melon, herb and a distant mineral dusting. In the mouth, it shows balanced freshness and a bright peach finish.","Erste Neue represents centuries of Italian winemaking tradition, with vineyards that have been cultivated since the Medieval period."
27,Bodegas Tobía 2005 Viña Tobía  (Rioja),Spain,Rioja,Bodegas Tobía,Tempranillo,2005,"Sweaty and pickled at first, although airing reveals some hidden dark fruit aromas. The palate is grapy and accented by black plum, yet it finishes salty and cheeky, with grabby tannins. Has it good points but lacks direction and elegance.",84,11.0,13.7,Medium-High,Medium,Medium-High,Dry,Still Red,https://wine-images.wine.com/media/catalog/product/bodegas-tobía-2005-tempranillo-783897.jpg,"Smooth, Celebratory, Balanced, Festive","Grilled vegetables, Hard cheeses, Pasta","Sweaty and pickled at first, although airing reveals some hidden dark fruit aromas. The palate is grapy and accented by black plum, yet it finishes salty and cheeky, with grabby tannins. Has it good points but lacks direction and elegance.",A distinguished Spanish estate known for its dedication to indigenous grape varieties and traditional aging methods in oak barrels.
28,Spadina 2006 Una Viola Signature Syrah (Sicilia),Italy,Sicilia,Spadina,Syrah,2006,"This plush Syrah opens with a pretty ruby color and thick, almost syrupy, tones of blueberry and raspberry. The fruit aromas are followed by spice and roasted almonds and the wine is succulent and chewy to the very end.",88,16.0,13.9,High,Full,High,Dry,Still Red,https://images.vivino.com/thumbs/spadina-2006-syrah-862996.jpg,"Bold, Sophisticated, Good","Aged gouda, Dark berries, BBQ ribs, Spicy sausages","This plush Syrah opens with a pretty ruby color and thick, almost syrupy, tones of blueberry and raspberry. The fruit aromas are followed by spice and roasted almonds and the wine is succulent and chewy to the very end.","Established in 1923, Spadina has become synonymous with quality Italian wine production and sustainable viticulture."
29,Prieuré de Montézargues 2014  Tavel,France,Tavel,Prieuré de Montézargues,Rosé,2014,"This is pretty pale for a Tavel, with a coppery tinge to its pink color. Notes of lime zest, wet stone and modest cherry-berry notes finish on a bright citrus note.",90,24.0,14.7,Medium,Medium-Full,Low,Dry,Rosé,https://wine-images.wine.com/media/catalog/product/prieuré-de-montézarg-2014-rosé-189661.jpg,"Balanced, Smooth, Pleasant, Outstanding, Complex","Light pasta, Mediterranean salad, Grilled shrimp","This is pretty pale for a Tavel, with a coppery tinge to its pink color. Notes of lime zest, wet stone and modest cherry-berry notes finish on a bright citrus note.",A historic French winery that has weathered both world wars and continues to produce wines that reflect the unique characteristics of its France origins.
30,Broman 2008 Sauvignon Blanc (Napa Valley),US,Napa Valley,Broman,Sauvignon Blanc,2008,"This brilliant Sauvignon Blanc should be scooped up by sommeliers. It's exceptionally dry and tart in citrusy acids, with a mineral scour that's perfect for shellfish or savory appetizers. The flavors are of lemons, limes, gooseberries and white pepper. Beautiful and compelling.",91,17.0,13.0,Medium-High,Full,None,Dry,Still White,https://images.wine.com/labels/broman-2008-sauvignon-blanc-823344.jpg,"Sophisticated, Crisp, Vibrant","Light seafood, Goat cheese salad, Oysters","This brilliant Sauvignon Blanc should be scooped up by sommeliers. It's exceptionally dry and tart in citrusy acids, with a mineral scour that's perfect for shellfish or savory appetizers. The flavors are of lemons, limes, gooseberries and white pepper. Beautiful and compelling.",A boutique American winery that focuses on small-batch production and showcasing the unique terroir of US wine regions.
31,Bodegas Caro 2011 Amancaya Gran Reserva Malbec-Cabernet Sauvignon (Mendoza),Argentina,Mendoza,Bodegas Caro,Malbec-Cabernet Sauvignon,2011,"Foxy berry aromas are the lead scent, and they're followed by notes of wet dog and raspberry. This is full bodied and round as a ball, with earthy, lightly herbal flavors of red berries, thyme and rosemary. A warm, loamy finish brings oaky flavors and closing weight. Drink this blend of 70% Malbec and 30% Cabernet Sauvignon through 2016.",89,21.0,14.3,High,Full,None,Dry,Still White,https://wine-images.wine.com/media/catalog/product/bodegas-caro-2011-malbec-cabernet-248283.jpg,"Good, Bold, Powerful","Seafood, Vegetables, Light poultry, Fresh cheeses","Foxy berry aromas are the lead scent, and they're followed by notes of wet dog and raspberry. This is full bodied and round as a ball, with earthy, lightly herbal flavors of red berries, thyme and rosemary. A warm, loamy finish brings oaky flavors and closing weight. Drink this blend of 70% Malbec and 30% Cabernet Sauvignon through 2016.","Bodegas Caro is a respected winery from Argentina, known for producing quality wines that showcase the unique characteristics of their regional terroir and local grape varieties."
32,Simonsig 2011 Redhill Pinotage (Stellenbosch),South Africa,Stellenbosch,Simonsig,Pinotage,2011,"A decadent blend of ripe berries and rich oak characterizes this wine; sweet smoke and baking spice mingle harmoniously with notes of mashed raspberry and blackberry, accented by hints of hickory-cured bacon and raw cocoa nibs. The medium-weight mouth is structured and bold, with chewy tannins and heady flavors of plum and berry preserves, roasted coffee and sweet licorice. The finish is long and dry, and although this would certainly benefit from 5–10 years of cellaring time, it's approachable now with decanting.",92,38.0,12.8,High,Medium-Full,Medium,Dry,Still Red,https://images.vivino.com/thumbs/simonsig-2011-pinotage-133971.jpg,"Pleasant, Social, Smooth, Outstanding, Balanced","Hard cheeses, Pasta, Grilled vegetables","A decadent blend of ripe berries and rich oak characterizes this wine; sweet smoke and baking spice mingle harmoniously with notes of mashed raspberry and blackberry, accented by hints of hickory-cured bacon and raw cocoa nibs. The medium-weight mouth is structured and bold, with chewy tannins and heady flavors of plum and berry preserves, roasted coffee and sweet licorice. The finish is long and dry, and although this would certainly benefit from 5–10 years of cellaring time, it's approachable now with decanting.","Simonsig is a respected winery from South Africa, known for producing quality wines that showcase the unique characteristics of their regional terroir and local grape varieties."
33,Castoro Cellars 2007 Chardonnay (Central Coast),US,Central Coast,Castoro Cellars,Chardonnay,2007,"Tastes a bit medicinal, with a sweet-sour quality of lemons and pineapples, and is quite acidic. Lacks richness, but it's a decent everyday Chardonnay.",83,14.0,12.1,Medium-Low,Medium,None,Dry,Still White,https://images.wine.com/labels/castoro-cellars-2007-chardonnay-729211.jpg,"Creamy, Luxurious, Intimate","Brie cheese, Grilled fish, Roasted chicken, Creamy pasta","Tastes a bit medicinal, with a sweet-sour quality of lemons and pineapples, and is quite acidic. Lacks richness, but it's a decent everyday Chardonnay.",A boutique American winery that focuses on small-batch production and showcasing the unique terroir of US wine regions.
34,Rozes 2009 Quinta do Pégo Vintage  (Port),Portugal,Port,Rozes,Port,2009,"Quinta do Pégo produces a light, fast maturing style of vintage Port. This 2009 has the bonus of great richness, although its fruity character and soft tannins suggest it will mature rapidly.",87,28.0,11.7,High,Full,Medium,Sweet,Fortified,https://cdn.wine-searcher.com/images/labels/rozes-2009-port-641516.jpg,"Pleasant, Smooth, Cozy, Balanced","Aged cheeses, Fruit tarts, After-dinner conversation, Dark chocolate","Quinta do Pégo produces a light, fast maturing style of vintage Port. This 2009 has the bonus of great richness, although its fruity character and soft tannins suggest it will mature rapidly.","Rozes is a respected winery from Portugal, known for producing quality wines that showcase the unique characteristics of their regional terroir and local grape varieties."
35,Tamarack Cellars 2012 Merlot (Columbia Valley (WA)),US,Columbia Valley (WA),Tamarack Cellars,Merlot,2012,"A surprisingly green tinge vies with tobacco, raspberry and woodspice for attention. This wine is full in feel with good concentration of flavors but ultimately the greenness provides distraction.",88,28.0,14.0,High,Medium,Low,Dry,Still Red,https://images.wine.com/labels/tamarack-cellars-2012-merlot-854932.jpg,"Social, Reliable, Balanced","Beef tenderloin, Chocolate cake, Roasted pork","A surprisingly green tinge vies with tobacco, raspberry and woodspice for attention. This wine is full in feel with good concentration of flavors but ultimately the greenness provides distraction.",A boutique American winery that focuses on small-batch production and showcasing the unique terroir of US wine regions.
